SANPHAM,MASANPHAM,TENSANPHAM,BARCODE,DONVITINH,LOAITIEN,GIAVON,GIABAN,GIADAILY,VAT,BAOHANH,HANGSANXUAT,XUATXU,CHATLIEU,MAUSAC,MOTASANPHAM,GHICHU,TIMEACTION,MA_CHI_NHANH,HOATDONG,KEYACCESS,CYL_ADD,CYL_SUB,SPH_ADD,SPH_SUB,URL_IMAGE,VITRI,MAMAUIN,MASANPHAM_DIS,NHOMSP
21488,1.49 CR S-1.50 C-1.50,Mat can ram 1.49 Korea,N000004061,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21489,1.49 CR S-1.50 C-1.75,Mat can ram 1.49 Korea,N000004102,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21490,1.49 CR S-1.50 C-2.00,Mat can ram 1.49 Korea,N000004143,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21491,1.49 CR S-1.75 C-0.00,Mat can ram 1.49 Korea,N000003855,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21492,1.49 CR S-1.75 C-0.50,Mat can ram 1.49 Korea,N000003897,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21493,1.49 CR S-1.75 C-0.75,Mat can ram 1.49 Korea,N000003939,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21494,1.49 CR S-1.75 C-1.00,Mat can ram 1.49 Korea,N000003980,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21495,1.49 CR S-1.75 C-1.25,Mat can ram 1.49 Korea,N000004021,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21496,1.49 CR S-1.75 C-1.50,Mat can ram 1.49 Korea,N000004062,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21497,1.49 CR S-1.75 C-1.75,Mat can ram 1.49 Korea,N000004103,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21498,1.49 CR S-1.75 C-2.00,Mat can ram 1.49 Korea,N000004144,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21499,1.49 CR S-2.00 C-0.00,Mat can ram 1.49 Korea,N000003856,,VND,,160000,,10,0,KOREA,5,MT,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21500,1.49 CR S-2.00 C-0.50,Mat can ram 1.49 Korea,N000003898,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21501,1.49 CR S-2.00 C-0.75,Mat can ram 1.49 Korea,N000003940,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21502,1.49 CR S-2.00 C-1.00,Mat can ram 1.49 Korea,N000003981,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21503,1.49 CR S-2.00 C-1.25,Mat can ram 1.49 Korea,N000004022,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21504,1.49 CR S-2.00 C-1.50,Mat can ram 1.49 Korea,N000004063,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21505,1.49 CR S-2.00 C-1.75,Mat can ram 1.49 Korea,N000004104,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21506,1.49 CR S-2.00 C-2.00,Mat can ram 1.49 Korea,N000004145,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21507,1.49 CR S-2.25 C-0.00,Mat can ram 1.49 Korea,N000003857,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21508,1.49 CR S-2.25 C-0.50,Mat can ram 1.49 Korea,N000003899,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21509,1.49 CR S-2.25 C-0.75,Mat can ram 1.49 Korea,N000003941,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21510,1.49 CR S-2.25 C-1.00,Mat can ram 1.49 Korea,N000003982,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21511,1.49 CR S-2.25 C-1.25,Mat can ram 1.49 Korea,N000004023,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21512,1.49 CR S-2.25 C-1.50,Mat can ram 1.49 Korea,N000004064,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21513,1.49 CR S-2.25 C-1.75,Mat can ram 1.49 Korea,N000004105,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21514,1.49 CR S-2.25 C-2.00,Mat can ram 1.49 Korea,N000004146,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21515,1.49 CR S-2.50 C-0.00,Mat can ram 1.49 Korea,N000003858,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21516,1.49 CR S-2.50 C-0.50,Mat can ram 1.49 Korea,N000003900,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21517,1.49 CR S-2.50 C-0.75,Mat can ram 1.49 Korea,N000003942,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21518,1.49 CR S-2.50 C-1.00,Mat can ram 1.49 Korea,N000003983,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
